code_type,code,consumer_description
CPT,11623,Skin cancer removal scalp neck hands feet or genitals 2.1 to 3.0 cm
CPT,11624,Skin cancer removal scalp neck hands feet or genitals 3.1 to 4.0 cm
CPT,11626,Skin cancer removal scalp neck hands feet or genitals over 4.0 cm
CPT,11640,Skin cancer removal face ears eyelids nose or lips 0.5 cm or less
CPT,11641,Skin cancer removal face ears eyelids nose or lips 0.6 to 1.0 cm
CPT,11642,Skin cancer removal face ears eyelids nose or lips 1.1 to 2.0 cm
CPT,11643,Skin cancer removal face ears eyelids nose or lips 2.1 to 3.0 cm
CPT,11644,Skin cancer removal face ears eyelids nose or lips 3.1 to 4.0 cm
CPT,11646,Skin cancer removal face ears eyelids nose or lips over 4.0 cm
CPT,1170F,Functional status assessment
CPT,11719,Trimming of normal nails
CPT,11720,Nail cleaning and trimming 1 to 5 nails
CPT,11721,Nail cleaning and trimming 6 or more nails
CPT,11730,Simple nail separation from nail bed first nail
CPT,11732,Simple nail separation from nail bed each additional nail
CPT,11740,Drainage of blood under fingernail or toenail
CPT,11750,Permanent nail removal
CPT,11752,Removal of nail bed or finger tip
CPT,11755,Nail biopsy separate procedure
CPT,1175F,Functional status for dementia assessed and reviewed
CPT,11760,Nail bed repair
CPT,11762,Nail bed reconstruction with graft
CPT,11765,Wedge removal of skin at nail fold
CPT,11770,Pilonidal cyst or sinus removal simple
CPT,11771,Pilonidal cyst or sinus removal extensive
CPT,11772,Pilonidal cyst or sinus removal complicated
CPT,1181F,Neuropsychiatric symptoms assessed and reviewed
CPT,11900,Injection into skin lesion up to 7 lesions
CPT,11901,Injection into skin lesion more than 7 lesions
CPT,11920,Tattoo correction for skin color up to 6 sq cm
CPT,11921,Tattoo correction for skin color 6.1 to 20 sq cm
CPT,11922,Tattoo correction for skin color each additional 20 sq cm
CPT,11950,Injection of filler material under skin 1 cc or less
CPT,11951,Injection of filler material under skin 1.1 to 5.0 cc
CPT,11952,Injection of filler material under skin 5.1 to 10.0 cc
CPT,11954,Injection of filler material under skin over 10.0 cc
CPT,11960,Tissue expander insertion for later skin grafting
CPT,11970,Tissue expander replacement with permanent implant
CPT,11971,Tissue expander removal without replacement
CPT,11976,Removal of implantable contraceptive capsules
CPT,11980,Subcutaneous hormone pellet implantation
CPT,11981,Drug delivery implant insertion
CPT,11982,Drug delivery implant removal
CPT,11983,Drug delivery implant removal and reinsertion
CPT,12001,Simple wound repair scalp neck trunk arms or legs 2.5 cm or less
CPT,12002,Simple wound repair scalp neck trunk arms or legs 2.6 to 7.5 cm
CPT,12004,Simple wound repair scalp neck trunk arms or legs 7.6 to 12.5 cm
CPT,12005,Simple wound repair scalp neck trunk arms or legs 12.6 to 20.0 cm
CPT,12006,Simple wound repair scalp neck trunk arms or legs 20.1 to 30.0 cm
CPT,12007,Simple wound repair scalp neck trunk arms or legs over 30.0 cm
CPT,1200F,Seizure type and frequency documented
CPT,12011,Simple wound repair face ears eyelids nose lips or mouth 2.5 cm or less
CPT,12013,Simple wound repair face ears eyelids nose lips or mouth 2.6 to 5.0 cm
CPT,12014,Simple wound repair face ears eyelids nose lips or mouth 5.1 to 7.5 cm
CPT,12015,Simple wound repair face ears eyelids nose lips or mouth 7.6 to 12.5 cm
CPT,12016,Simple wound repair face ears eyelids nose lips or mouth 12.6 to 20.0 cm
CPT,12017,Simple wound repair face ears eyelids nose lips or mouth 20.1 to 30.0 cm
CPT,12018,Simple wound repair face ears eyelids nose lips or mouth over 30.0 cm
CPT,12020,Treatment of superficial wound opening simple closure
CPT,12021,Treatment of wound opening with packing
CPT,12031,Intermediate wound repair scalp trunk arms or legs 2.5 cm or less
CPT,12032,Intermediate wound repair scalp trunk arms or legs 2.6 to 7.5 cm
CPT,12034,Intermediate wound repair scalp trunk arms or legs 7.6 to 12.5 cm
CPT,12035,Intermediate wound repair scalp trunk arms or legs 12.6 to 20.0 cm
CPT,12036,Intermediate wound repair scalp trunk arms or legs 20.1 to 30.0 cm
CPT,12037,Intermediate wound repair scalp trunk arms or legs over 30.0 cm
CPT,12041,Intermediate wound repair neck hands feet or genitals 2.5 cm or less
CPT,12042,Intermediate wound repair neck hands feet or genitals 2.6 to 7.5 cm
CPT,12044,Intermediate wound repair neck hands feet or genitals 7.6 to 12.5 cm
CPT,12045,Intermediate wound repair neck hands feet or genitals 12.6 to 20.0 cm
CPT,12046,Intermediate wound repair neck hands feet or genitals 20.1 to 30.0 cm
CPT,12047,Intermediate wound repair neck hands feet or genitals over 30.0 cm
CPT,12051,Intermediate wound repair face ears eyelids nose lips or mouth 2.5 cm or less
CPT,12052,Intermediate wound repair face ears eyelids nose lips or mouth 2.6 to 5.0 cm
CPT,12053,Intermediate wound repair face ears eyelids nose lips or mouth 5.1 to 7.5 cm
CPT,12054,Intermediate wound repair face ears eyelids nose lips or mouth 7.6 to 12.5 cm
CPT,12055,Intermediate wound repair face ears eyelids nose lips or mouth 12.6 to 20.0 cm
CPT,12056,Intermediate wound repair face ears eyelids nose lips or mouth 20.1 to 30.0 cm
CPT,12057,Intermediate wound repair face ears eyelids nose lips or mouth over 30.0 cm
CPT,1220F,Patient screened for depression
CPT,13100,Complex wound repair trunk 1.1 to 2.5 cm
CPT,13101,Complex wound repair trunk 2.6 to 7.5 cm
CPT,13102,Complex wound repair trunk each additional 5 cm or less
CPT,13120,Complex wound repair scalp arms or legs 1.1 to 2.5 cm
CPT,13121,Complex wound repair scalp arms or legs 2.6 to 7.5 cm
CPT,13122,Complex wound repair scalp arms or legs each additional 5 cm or less
CPT,13131,Complex wound repair forehead cheeks chin mouth neck hands or feet 1.1 to 2.5 cm
CPT,13132,Complex wound repair forehead cheeks chin mouth neck hands or feet 2.6 to 7.5 cm
CPT,13133,Complex wound repair forehead cheeks chin mouth neck hands or feet each additional 5 cm
CPT,13150,Complex wound repair eyelid nose ear or lip 1 cm or less
CPT,13151,Complex wound repair eyelid nose ear or lip 1.1 to 2.5 cm
CPT,13152,Complex wound repair eyelid nose ear or lip 2.6 to 7.5 cm
CPT,13153,Complex wound repair eyelid nose ear or lip each additional 5 cm
CPT,13160,Secondary wound closure extensive or complicated
CPT,14000,Skin tissue transfer trunk 10 sq cm or less
CPT,14001,Skin tissue transfer trunk 10.1 to 30.0 sq cm
CPT,14020,Skin tissue transfer scalp arms or legs 10 sq cm or less
CPT,14021,Skin tissue transfer scalp arms or legs 10.1 to 30.0 sq cm
CPT,14040,Skin tissue transfer forehead cheeks chin mouth neck hands or feet 10 sq cm or less
CPT,14041,Skin tissue transfer forehead cheeks chin mouth neck hands or feet 10.1 to 30.0 sq cm
CPT,14060,Skin tissue transfer eyelids nose ears or lips 10 sq cm or less
CPT,14061,Skin tissue transfer eyelids nose ears or lips 10.1 to 30.0 sq cm
CPT,14301,Skin tissue transfer any area 30.1 to 60 sq cm
CPT,14302,Skin tissue transfer any area each additional 30 sq cm
CPT,14350,Finger or toe skin flap with preparation of site
CPT,1490F,Dementia severity classified as mild
CPT,1491F,Dementia severity classified as moderate
CPT,1494F,Cognition assessed and reviewed
CPT,15002,Wound bed preparation trunk arms or legs first 100 sq cm or 1 percent body
CPT,15003,Wound bed preparation trunk arms or legs each additional 100 sq cm
CPT,15004,Wound bed preparation face scalp neck hands feet or genitals first 100 sq cm
CPT,15005,Wound bed preparation face scalp neck hands feet or genitals each additional 100 sq cm
CPT,15011,Harvest of skin cells for graft first 25 sq cm
CPT,15012,Harvest of skin cells for graft each additional 25 sq cm
CPT,15013,Preparation of skin cells for graft first 25 sq cm
CPT,15014,Preparation of skin cells for graft each additional 25 sq cm
CPT,15015,Application of skin cell graft trunk arms or legs first 25 sq cm
CPT,15016,Application of skin cell graft trunk arms or legs each additional 25 sq cm
CPT,15017,Application of skin cell graft face neck hands feet or genitals first 25 sq cm
CPT,15018,Application of skin cell graft face neck hands feet or genitals each additional 25 sq cm
CPT,15040,Harvest of skin for tissue cultured skin graft 100 sq cm or less
CPT,15050,Pinch graft for small ulcer or wound up to 2 cm
CPT,15100,Split-thickness skin graft trunk arms or legs first 100 sq cm or 1 percent body
CPT,15101,Split-thickness skin graft trunk arms or legs each additional 100 sq cm
CPT,15110,Epidermal skin graft trunk arms or legs first 100 sq cm or 1 percent body
CPT,15111,Epidermal skin graft trunk arms or legs each additional 100 sq cm
CPT,15115,Epidermal skin graft face scalp neck hands feet or genitals first 100 sq cm
CPT,15116,Epidermal skin graft face scalp neck hands feet or genitals each additional 100 sq cm
CPT,15120,Split-thickness skin graft face scalp neck hands feet or genitals first 100 sq cm
CPT,15121,Split-thickness skin graft face scalp neck hands feet or genitals each additional 100 sq cm
CPT,15130,Dermal skin graft trunk arms or legs first 100 sq cm
CPT,15131,Dermal skin graft trunk arms or legs each additional 100 sq cm
CPT,15135,Dermal skin graft face neck hands feet or genitals first 100 sq cm
CPT,15136,Dermal skin graft face neck hands feet or genitals each additional 100 sq cm
CPT,15150,Cultured epidermal graft trunk arms or legs less than 26 sq cm
CPT,15151,Cultured epidermal graft trunk arms or legs 26 to 75 sq cm
CPT,15152,Cultured epidermal graft trunk arms or legs each additional 100 sq cm
CPT,15155,Cultured epidermal graft face neck hands feet or genitals less than 26 sq cm
CPT,15156,Cultured epidermal graft face neck hands feet or genitals 26 to 75 sq cm
CPT,15157,Cultured epidermal graft face neck hands feet or genitals each additional 100 sq cm
CPT,15200,Full thickness skin graft trunk 20 sq cm or less
CPT,15201,Full thickness skin graft trunk each additional 20 sq cm
CPT,15220,Full thickness skin graft scalp arms or legs 20 sq cm or less
CPT,15221,Full thickness skin graft scalp arms or legs each additional 20 sq cm
CPT,15240,Full thickness skin graft face neck hands feet or genitals 20 sq cm or less
CPT,15241,Full thickness skin graft face neck hands feet or genitals each additional 20 sq cm
CPT,15260,Full thickness skin graft nose ear eyelids or lips 20 sq cm or less
CPT,15261,Full thickness skin graft nose ear eyelids or lips each additional 20 sq cm
CPT,15271,Skin substitute graft trunk arms or legs up to 100 sq cm first 25 sq cm
CPT,15272,Skin substitute graft trunk arms or legs up to 100 sq cm each additional 25 sq cm
CPT,15273,Skin substitute graft trunk arms or legs 100 sq cm or more first 100 sq cm
CPT,15274,Skin substitute graft trunk arms or legs 100 sq cm or more each additional 100 sq cm
CPT,15275,Skin substitute graft face scalp hands feet or genitals up to 100 sq cm first 25 sq cm
CPT,15276,Skin substitute graft face scalp hands feet or genitals up to 100 sq cm each additional 25 sq cm
CPT,15277,Skin substitute graft face scalp hands feet or genitals 100 sq cm or more first 100 sq cm
CPT,15278,Skin substitute graft face scalp hands feet or genitals 100 sq cm or more each additional 100 sq cm
CPT,15570,Formation of skin flap trunk
CPT,15572,Formation of skin tube flap scalp arms or legs
CPT,15574,Formation of skin tube flap forehead cheeks chin mouth neck hands or feet
CPT,15576,Formation of skin flap eyelid ear nose or lip
CPT,15600,Delay of skin flap or flap separation trunk
CPT,15610,Delay of skin flap or flap separation scalp arms or legs
CPT,15620,Delay of skin flap or flap separation face chin neck hands or feet
CPT,15630,Delay of skin flap or flap separation eyelids nose ears or lips
CPT,15650,Transfer of skin flap to any location
CPT,15730,Midface skin flap with preserved blood vessels
CPT,15731,Forehead skin flap with preserved blood vessels
CPT,15732,Muscle and skin flap head or neck
CPT,15733,Muscle or fascia skin flap head and neck with named blood vessels
CPT,15734,Muscle or fascia skin flap trunk
CPT,15736,Muscle or fascia skin flap upper arm
CPT,15738,Muscle or fascia skin flap lower leg
CPT,15740,Island pedicle flap with named artery
CPT,15750,Psychiatric therapy for crisis each additional 30 minutes
CPT,15756,Free muscle flap with microsurgery connection
CPT,15757,Free skin flap with microsurgery connection
CPT,15758,Free fascia flap with microsurgery connection
CPT,15760,Composite graft with primary closure
CPT,15769,Soft tissue graft by direct excision
CPT,15770,Derma fat fascia graft
CPT,15771,Autologous fat grafting by liposuction trunk breasts scalp arms or legs 50 cc or less
CPT,15772,Autologous fat grafting by liposuction each additional 50 cc
CPT,15773,Autologous fat grafting by liposuction face eyelids mouth ears nose 25 cc or less
CPT,15774,Autologous fat grafting by liposuction face area each additional 25 cc
CPT,15775,Hair transplant punch graft 1 to 15 grafts
CPT,15776,Hair transplant punch graft more than 15 grafts
CPT,15777,Biologic implant for soft tissue reinforcement
CPT,15778,Absorbable mesh implant for delayed wound closure
CPT,15780,Dermabrasion treatment total face
CPT,15781,Dermabrasion treatment face segmental
CPT,15782,Dermabrasion treatment regional other than face
CPT,15783,Dermabrasion treatment superficial any area
CPT,15786,Abrasion treatment single lesion such as scar
CPT,15787,Abrasion treatment each additional 4 lesions or less
CPT,15788,Chemical peel facial epidermal
CPT,15789,Chemical peel facial dermal deeper layer
CPT,15792,Chemical peel non-facial epidermal
CPT,15793,Chemical peel non-facial dermal deeper layer
CPT,15819,Plastic surgery of neck
CPT,15820,Lower eyelid lift both eyes
CPT,15821,Lower eyelid lift with fat pad removal
CPT,15822,Upper eyelid lift removal of excessive skin
CPT,15823,Upper eyelid lift removal of excessive skin and fat
CPT,15824,Forehead lift for wrinkles
CPT,15825,Neck lift with muscle tightening
CPT,15826,Forehead lift for frown lines
